العميل,الموقع,كيلو متر
كرواية التجمع,جود مكس مدينة نصر,457
ديمكس امبابة,الفولى,695
ديمكس امبابة,ابوعاطف وادى النطرون,152
ديمكس امبابة,الجارحى بنى سويف,522
ديمكس امبابة,الجارحى صحراوى اسكندرية,63
ديمكس امبابة,الحسان بنى سويف,300
ديمكس امبابة,الشريف العاصمة,148
ديمكس امبابة,الشريق مطار بنى سويف,408
ديمكس امبابة,العاصمة,568
ديمكس امبابة,العروبة السادات,688
ديمكس امبابة,المصطفى الصحراوى اسكندرية,706
ديمكس امبابة,المصطفى الصحراوى اسكندرية,668
ديمكس امبابة,المصطفى وادى النطرون,150
ديمكس امبابة,الهندسية الفيوم,517
ديمكس امبابة,بداية مدينة نصر,466
ديمكس امبابة,بدر,31
ديمكس امبابة,بنى سويف,1215
ديمكس امبابة,راس الحكمة,565
ديمكس امبابة,كينج العبور,490
ديمكس امبابة,هورست بدر,354
واى مكس مايو,الكيان,436
واى مكس مايو,الشريق مطار بنى سويف,526
واى مكس مايو,الشروق القطامية,217
واى مكس مايو,العمدة الصف,212
واى مكس مايو,الماسة الفسطاط,431
واى مكس مايو,الماسة الصف,222
يريك الصف,الليثى,802
يريك الصف,المنسى محور الضبغة,1180
يريك الصف,الهندسية الضبعة,361
ستار مكس اكتوبر,المصرية,372
زايد,الوصفى,442
زايد,مارش التجمع,427
مكةا بو رواش,الوليد,536
المعالى العاشر,ايجل,577
كونكريت العبور,بدر دياب,427
مودرن اكتوبر,توب باور,574
الحديثة السادات,تيتان,450
اكتوبر غرب المطار,جلوبال,515
اكتوبر غرب المطار,ارام واى ط السويس,252
يسما مكس ابشواى,جنيدى,299
يسما مكس ابشواى,الاخلاص اكتوبر,303
يسما مكس ابشواى,البروج اكتوبر,456
يسما مكس ابشواى,الرحمة اكتوبر,504
يسما مكس ابشواى,الحديدى العاشر,337
يسما مكس ابشواى,السلطان حدائق العاصمة,440
يسما مكس ابشواى,الشروق العاصمة,504
يسما مكس ابشواى,الشروق مدينةنصر,333
يسما مكس ابشواى,فرى مكس اكتوبر,347
يسما مكس ابشواى,فيلو اكتوبر,431
يسما مكس ابشواى,فيلو الفسطاط,484
مصر للتشييد بدر,جومان تريد,441
ثرى ام العاصمة,حسام البدرى,309
ثرى ام العاصمة,الايمان اكتوبر,446
ثرى ام العاصمة,البناء العاصمة,464
ثرى ام العاصمة,الزخار العاصمة,542
ثرى ام العاصمة,السلام العاشر,200
ثرى ام العاصمة,الصف,432
ثرى ام العاصمة,العالمية العاصمة,326
ثرى ام العاصمة,الفشن,355
ثرى ام العاصمة,برومكس اكتوبر,485
ثرى ام العاصمة,برومكس الرحاب,460
ثرى ام العاصمة,بيلرز التجمع,538
ثرى ام العاصمة,تاون العبور,385
ثرى ام العاصمة,جولد  اكتوبر,467
ثرى ام العاصمة,جوكر ابورواش,426
ثرى ام العاصمة,دار الهندسة الرحاب,439
ثرى ام العاصمة,كابيتال التجمع,437
ثرى ام العاصمة,كون مكس القطامية,352
ثرى ام العاصمة,نورمكس اكتوبر,425
ثرى ام العاصمة,نوفا العاصمة,310
نيو مكس اكتوبر,خالد عزام,464
الهندسية العاصمة,دار المبانى,430
جلوبال العاصمة,ديكوم,529
السادات,شركة,408
6,العالمية العاصمة,166
اكتوبر,ماسمكس اكتوبر,775
شركة السلام,عصام الخولى,570
شركة السلام,السلام وادى النطرون,323
عطوط,العبور,415
ايجى كونكريت اكتوبر,عمرو البدرى,420
ايجى كونكريت اكتوبر,يتومكس القطامية,341
ايجى كونكريت اكتوبر,فيوتشر,338
ايجى كونكريت اكتوبر,الامل قطامية,463
ايجى كونكريت اكتوبر,الحاج فهمى حدائق الاهرام,550
ايجى كونكريت اكتوبر,العربية المتحدة اكتوبر,425
ايجى كونكريت اكتوبر,المهندسين ناهيا,432
ايجى كونكريت اكتوبر,جلوبال العبور,407
دريم العاصمة,فيوتشر اكتوبر,481
دريم العاصمة,هالة اكتوبر,427
دريم العاصمة,كليب,510
دريم العاصمة,اسكوبر بدر,438
دريم العاصمة,الاستثمارية بدر,460
دريم العاصمة,الدولية اكتوبر,481
دريم العاصمة,السلام ط السويس,486
دريم العاصمة,السويدى التجمع,413
دريم العاصمة,الماسة المقطم,508
دريم العاصمة,ايجى مكس التجمغ,402
دريم العاصمة,بون مكس التجمع,562
دريم العاصمة,تبارك العاصمة,267
دريم العاصمة,تيتان اكتوبر,475
دريم العاصمة,رويال العبور,425
دريم العاصمة,عبدو فوزى دهشور,429
كونكريت العاصمة,مودلرن ابورواش,386
ناصر همام اكتوبر,ماهر عبدالعظيم,552
الهدى اكتوبر,مجمد الزيدى,561
الهدى اكتوبر,ايماكو العبور,502
محمد عبدالعظيم,راس الحكمة,554
الامل السادات,دبى حدائق العاصمة,428
الامل السادات,مرحة,447
الامل السادات,موسسة الفتح,447
الامل السادات,ازار التجمع,566
العالمية التجمع,ايمكس التجمع,438
العالمية التجمع,الشريق مطار بنى سويف,346
العالمية التجمع,عصام الخولى,555
العالمية التجمع,دار العالمية اكتوبر,508
هاى مكس,التجمع,462
مدينة نصر المشير,هشام سليمان,348
مدينة نصر المشير,الاندلس اكتوبر ك,537
مدينة نصر المشير,52,506
مدينة نصر المشير,هورس,449
ابناء رضوان عرب مساعد,الدولية العاشر,437
ابناء رضوان عرب مساعد,تى جى الشروق,337
ابناء رضوان عرب مساعد,رويال مدينة نصر,456
ابناء رضوان عرب مساعد,هيثم الزبيدى,453
ابناء رضوان عرب مساعد,ابورواش,467
ابناء رضوان عرب مساعد,اعمار مكس المنيا,450
ابناء رضوان عرب مساعد,العالمية اكتوبر,427
ابناء رضوان عرب مساعد,العالمية اكتوبر,465
ابناء رضوان عرب مساعد,الندى اكتوبر,365
ابناء رضوان عرب مساعد,ايزى مكس ابورواش,433
عرفة اكتوبر غرب المطار,فاليو ابورواش,337
فاليو مايو,مكة اكتوبر,397
فاليو مايو,وائل حجاج,369
الهاشمية اكتوبر,يونايتد,350
اكسبريس بدر,بيراميدز مايو,426
اكسبريس بدر,جوبيتر مايو,475
اكسبريس بدر,الزيدى,708
اكسبريس بدر,القدس اكتوبر,375
اكسبريس بدر,كرداسة,372
اكسبريس بدر,ملوى,570
اكسبريس بدر,الشريق مطار بنى سويف,311
مكة العاشر,منفلوط,324
الهرم,ابيس,400
ستار مكس اكتوبر,ابيس,342
ستار مكس اكتوبر,المرازيق,352
السخنة,الدولية العاشر,453
15,مايو,383
الفتح,حدائق الاهرام,382
العالمية التجمع,بداية مدينة نصر,421
الهندسية العاصمة,المصرية الامريكية,464
النور,العاشر,513
النور,الشريق مطار بنى سويف,430
النيل,اسيك بنى سويف,532
المعادى,مايو,513
بروتيت لكتوبر,كينج ميكس التجمع,519
بروتيت لكتوبر,السلام العاشر,202
احمد العادلى,العمار العاشر,398
الهاشمية اكتوبر,الشريق مطار بنى سويف,394
الهاشمية اكتوبر,السعداء,482
الحوفى,اركان,445
الهاشمية اكتوبر,الفتح العاشر,509
الهاشمية اكتوبر,منفلوط,302
الهاشمية اكتوبر,البدرى,349
الهاشمية اكتوبر,السلام العاشر,220
القطامية,السلام العاشر,213
الزيدى,ناهيا,651
الزيدى,مايو,521
العالمية التجمع,السعداء,502
العالمية التجمع,عصام الخولى,517
السادات,تبارك اكتوبر,418
ابناء رضوان عرب مساعد,مايو,514
عطوط,كيوبس,411
ابناء رضوان عرب مساعد,محمد الزبيدى,432
اكسبريس بدر,السويس,387
اكتوبر,هشام,267
الاندلس اكتوبر,مايو,749
تبارك بدر,كيوبس,375
ثرى ام العاصمة,عصام الخولى,574
بدر,المنيب,574
الشريف حلوان,الفاروق,382
الزيدى,يونايتد,386
ميدل ايست اكتوبر,اسكندرية,365
جلوبال العاصمة,عصام الخولى,533
ثرى ام العاصمة,خالد عزام,357
جلوبال العاصمة,ملوى,592
الهندسية العاصمة,الشوربجى,427
اكتوبر غرب المطار,ريد سى,427
ابناء رضوان عرب مساعد,جولدن يونايتد,303
كرواية التجمع,السعود مايو,428
نيومكس اول محور الضبعة,العمار اكتوبر,426
ريدى مكس التجمع,يوربنيون العاصمة,693
ثرى ام العاصمة,بروفشنال اكتوبر,464
نيومكس اول محور الضبعة,ديمكس القطامية,395
نيومكس اول محور الضبعة,الندى العاصمة,438
الغرابيلى البراجيل,الحسن والصين,365
سمارت محور الضبعة,الصفوة محور الضبعة,787
نيومكس اول محور الضبعة,ابناء شلبى اكتوبر,562
ديمكس امبابة,جاما القطمية,134
دريم العاصمة,بريمكو اكتوبر,430
ثرى ام العاصمة,احمد العوضى,459
عرفة اكتوبر غرب المطار,الناجى محور الضبعة,462
بداية العبور,الحسان اطفيح,518
العربية حدائق الاهرام,البركة ابورواش,363
اجياد كرداسة,عصام الفولى,563
ستار مكس اكتوبر,تنمية السادات,819
دريم العاصمة,ناجح عزام,463
دريم العاصمة,استرا اكتوبر,980
ثرى ام العاصمة,الغرباوى,428
كرواية التجمع,زاد كونكريت العبور,454
ابناء رضوان عرب مساعد,برج العرب,320
اكتوبر,عبدة فوزى ابورواش,598
اكتوبر,نيو شرم سيدى عبدالرحمن,456
بريكس التجمع,مايو,794
اكتوبر غرب المطار,دميكس ابورواش,428
مكة سمالوط,بداية مدينة نصر,412
الهندسية العاصمة,احمد مصطفى,351
وادى النيل وادى النطرون,فرست اكتوبر,407
وادى النيل وادى النطرون,سمارت,443
اكتوبر,كايرو اكتوبر,123
جولدن ميكس,طلعت مصطفى,420
عطوط,تاليا العاصمة,527
عطوط,ملوى,588
عطوط,السلام العاشر,219
مدينتى,مدينتى,414
تايم مكس الفيوم,رامى السويسرية,415
تايم مكس الفيوم,يوروكريت بدر,481
الشروق,كايرو التجمع,451
كراوية,كراوية الرحاب,394
مكريت العاصمة,ط السويس,446
دريم العاصمة,كريم فوزى,496
مكريت العاصمة,يوروكريت العاشر,235
ميدل ايست اكتوبر,كواترو,440
يونيون,الاوسطى,448
الجميل العاصمة,نيو كايرو العاصمة,649
كرواية التجمع,الهدى الودى,397
نيومكس اول محور الضبعة,سام فيكس العاصمة,472
بدر,دار العالمية العاصمة,294
ميدل ايست اكتوبر,المصرية السويسرية,566
بنها,بنها,325
سامكون اكتوبر,السويس,350
اكتوبر غرب المطار,عصام الخولى,568
اكتوبر غرب المطار,ردى مكس بدر,127
المهندسين العبور,الامير اكتوبر,420
دريم العاصمة,ركائز العبور,532
يونيون,برتو المنيا,464
ثرى اس,سماميكس الفيوم,378
ساج العاصمة,الغريب العاشر,398
ايجى كونكريت اكتوبر,تاون المخابرات,745
بدر,فورميكس,455
دريم العاصمة,فورميكس اكتوبر,570
كرواية التجمع,مكة,497
مكريت العاصمة,الوالى اكتوبر,552
مكة العاشر,ثرى اتش النوبارية,567
كرواية التجمع,روك غرب المطار,526
اى كونكريت العاشر,صالح الحديدى ح العاصمة,750
يونيون,هاى كيو العاشر,432
مكريت العاصمة,الكيان ح العاصمة,420
ثرى ام العاصمة,شمس العبور,423
السويسرية,المغربل طنطا,655
ثرى ام العاصمة,سيرمكس التجمع,538
مكة العاشر,سمارت ميكس التجمع,455
كرواية التجمع,الجارحى القطامية,434
دريم العاصمة,العوفى,477
النيل السويس,ابيس,432
دريم العاصمة,اوجى العاشر,526
ايجى كونكريت اكتوبر,المدثر بهتيم,437
المهندسين العبور,الاتحاد العاشر,412
اى كونكريت العاشر,السلام الشروق,645
بروتيت لكتوبر,ابيس,389
العالمية التجمع,المصرية اكتوبر,504
ام اتش العاشر,صن كريت العاصمة,1090
لايوجد,,
